Question,Correct Answer,Difficulty,Category
What does the 'in' operator do?,Checks if a value exists in a sequence.,Medium,Operators
What is the difference between a list and a tuple?,"Lists are mutable, tuples are immutable.",Medium,Data Structures
What is the type of value returned by the input() function?,str (string).,Easy,Data Types
How would you flatten a 2D list using list comprehension?,[item for sublist in lst for item in sublist],Hard,List Comprehensions
What does the input() function do?,Takes input from the user as a string.,Easy,Built-in Functions
What is exception handling in Python?,A way to handle errors gracefully without crashing the program.,Easy,Exception Handling
What is encapsulation in OOP?,Hiding internal object details and showing only necessary parts.,Hard,Object-Oriented Programming
What is a built-in function in Python?,A function that is always available in Python without importing any module.,Easy,Built-in Functions
How do you assign a value to a variable in Python?,"Using the equals sign (=), e.g., x = 10.",Easy,Variables
How would you create a list of squares from 0 to 9 using list comprehension?,[x**2 for x in range(10)],Medium,List Comprehensions
What keyword is used to handle exceptions?,try,Easy,Exception Handling
What are logical operators in Python?,"and, or, not",Easy,Operators
What are arithmetic operators in Python?,"+, -, *, /, %, //, **",Easy,Operators
What is a default parameter in Python functions?,A parameter that assumes a default value if not provided.,Medium,Functions
What does the 'nonlocal' keyword do?,It refers to a variable in the nearest enclosing scope.,Hard,Scope and Namespaces
How do you assign a lambda function to a variable?,"By using assignment, e.g., f = lambda x: x + 1",Medium,Lambda Functions
What is the primary use of a dictionary in Python?,To store key-value pairs.,Easy,Data Structures
How do you find the ASCII value of a character in Python?,Using the ord() function.,Hard,Built-in Functions
What are the basic data types in Python?,"int, float, str, bool, and NoneType.",Easy,Data Types
"What is the output of lambda x, y: x + y when called with 2 and 3?",5 [ Five ],Easy,Lambda Functions
What is the difference between '=' and '=='?,"'=' assigns a value, '==' compares two values.",Medium,Operators
What type of loop is used to iterate over a sequence?,The 'for' loop.,Easy,Control Flow
What keyword is used to exit a loop prematurely?,break,Easy,Loops
What does the '==' operator check?,Checks if two values are equal.,Easy,Operators
